Chart,Practice,Code Smells,Total Lines,Ratio
argo-workflows,include_indent_required,34,156979,0.02%
argo-workflows,chart_name_format,0,156979,0.00%
argo-workflows,namespaced_template_definitions,0,156979,0.00%
argocd-apps,configmap_sensitive_values,0,823,0.00%
argocd-apps,standard_labels,12,823,1.46%
argocd-apps,count_embedded_objects,0,823,0.00%
argocd-apps,count_http_only_repositories,0,823,0.00%
argocd-apps,count_nonrange_versions,0,823,0.00%
argocd-apps,count_tabs,0,823,0.00%
argocd-apps,has_helper_file,1,823,0.12%
argocd-apps,include_indent_required,0,823,0.00%
argocd-apps,chart_name_format,0,823,0.00%
argocd-apps,namespaced_template_definitions,0,823,0.00%
argocd-image-updater,configmap_sensitive_values,0,1855,0.00%
argocd-image-updater,standard_labels,6,1855,0.32%
argocd-image-updater,count_embedded_objects,14,1855,0.75%
argocd-image-updater,count_http_only_repositories,0,1855,0.00%
argocd-image-updater,count_nonrange_versions,0,1855,0.00%
argocd-image-updater,count_tabs,0,1855,0.00%
argocd-image-updater,has_helper_file,0,1855,0.00%
argocd-image-updater,include_indent_required,49,1855,2.64%
argocd-image-updater,chart_name_format,0,1855,0.00%
argocd-image-updater,namespaced_template_definitions,0,1855,0.00%
artifact-hub,configmap_sensitive_values,0,1826,0.00%
artifact-hub,standard_labels,5,1826,0.27%
artifact-hub,count_embedded_objects,12,1826,0.66%
artifact-hub,count_http_only_repositories,0,1826,0.00%
artifact-hub,count_nonrange_versions,1,1826,0.05%
artifact-hub,count_tabs,0,1826,0.00%
artifact-hub,has_helper_file,0,1826,0.00%
artifact-hub,include_indent_required,30,1826,1.64%
artifact-hub,chart_name_format,0,1826,0.00%
artifact-hub,namespaced_template_definitions,0,1826,0.00%
authorino-operator,configmap_sensitive_values,2,6191,0.03%
authorino-operator,standard_labels,1,6191,0.02%
authorino-operator,count_embedded_objects,0,6191,0.00%
authorino-operator,count_http_only_repositories,0,6191,0.00%
authorino-operator,count_nonrange_versions,0,6191,0.00%
authorino-operator,count_tabs,0,6191,0.00%
authorino-operator,has_helper_file,1,6191,0.02%
authorino-operator,include_indent_required,0,6191,0.00%
authorino-operator,chart_name_format,0,6191,0.00%
authorino-operator,namespaced_template_definitions,0,6191,0.00%
backstage,configmap_sensitive_values,0,1336,0.00%
